state,product_,date,created_by,leads,prelim_quotes,final_qotes,purchases,cr
az,ho6,7/14/2018,Online,2,1,0,0,0
az,ho3,7/15/2018,Agent,1,1,0,0,0
az,ho3,7/15/2018,Online,8,6,1,0,0
az,ho3,7/16/2018,Online,9,5,2,1,0.111111111
az,ho6,7/16/2018,Online,2,2,0,0,0
az,ho3,7/17/2018,Online,11,7,3,1,0.090909091
az,ho6,7/17/2018,Online,2,1,0,0,0
az,ho3,7/18/2018,Online,9,6,4,0,0
az,ho6,7/18/2018,Online,4,4,3,1,0.25
az,ho3,7/19/2018,Agent,2,2,0,1,0.5
az,ho3,7/19/2018,Online,10,6,4,1,0.1
az,ho3,7/20/2018,Agent,3,1,1,1,0.333333333
az,ho3,7/20/2018,Online,10,6,3,0,0
az,ho6,7/20/2018,Online,5,4,1,0,0
az,ho3,7/21/2018,Online,5,1,1,0,0
az,ho6,7/21/2018,Online,1,1,1,0,0
az,ho3,7/22/2018,Agent,1,0,0,0,0
az,ho3,7/22/2018,Online,4,1,0,0,0
az,ho6,7/22/2018,Online,1,1,0,0,0
az,ho3,7/23/2018,Online,14,4,3,0,0
az,ho6,7/23/2018,Online,0,0,0,0,0
az,ho3,7/24/2018,Agent,1,0,0,0,0
az,ho3,7/24/2018,Online,14,6,1,0,0
az,ho6,7/24/2018,Online,3,0,0,0,0
az,ho3,7/25/2018,Agent,1,1,0,0,0
az,ho3,7/25/2018,Online,13,7,4,0,0
az,ho6,7/25/2018,Online,1,1,1,0,0
az,ho3,7/26/2018,Online,18,12,3,0,0
az,ho6,7/26/2018,Online,3,2,2,2,0.666666667
az,ho3,7/27/2018,Online,12,8,3,0,0
az,ho6,7/27/2018,Online,1,0,0,0,0
az,ho3,7/28/2018,Online,8,1,0,0,0
az,ho6,7/28/2018,Online,1,0,0,0,0
az,ho3,7/29/2018,Online,9,6,2,0,0
az,ho6,7/29/2018,Online,1,1,0,0,0
az,ho3,7/30/2018,Online,16,9,3,0,0
az,ho6,7/30/2018,Online,2,2,1,0,0
az,ho3,7/31/2018,Online,16,8,2,1,0.0625
az,ho6,7/31/2018,Online,1,0,0,0,0
az,ho3,8/1/2018,Online,11,8,3,0,0
az,ho6,8/1/2018,Online,1,1,1,0,0
az,ho3,8/2/2018,Agent,1,1,1,0,0
az,ho3,8/2/2018,Online,6,0,0,0,0
az,ho6,8/2/2018,Online,2,2,2,1,0.5
az,ho3,8/3/2018,Agent,2,1,1,0,0
az,ho3,8/3/2018,Online,18,9,6,2,0.111111111
az,ho6,8/3/2018,Online,2,1,1,0,0
az,ho3,8/4/2018,Agent,0,0,0,0,0
az,ho3,8/4/2018,Online,15,7,5,2,0.133333333
az,ho6,8/4/2018,Online,3,0,0,0,0
az,ho3,8/5/2018,Online,9,5,3,0,0
az,ho6,8/5/2018,Online,1,1,0,0,0
az,ho3,8/6/2018,Agent,2,1,1,1,0.5
az,ho3,8/6/2018,Online,15,10,5,1,0.066666667
az,ho3,8/7/2018,Agent,3,3,2,1,0.333333333
az,ho3,8/7/2018,Online,11,6,2,1,0.090909091
az,ho6,8/7/2018,Online,1,1,0,0,0
az,ho3,8/8/2018,Online,9,6,1,0,0
az,ho6,8/8/2018,Online,4,3,0,0,0
az,ho3,8/9/2018,Online,11,6,5,0,0
az,ho6,8/9/2018,Online,1,0,0,0,0
az,ho3,8/10/2018,Agent,0,0,0,0,0
az,ho3,8/10/2018,Online,10,6,1,0,0
az,ho6,8/10/2018,Online,2,2,1,0,0
az,ho3,8/11/2018,Online,11,8,4,0,0
az,ho6,8/11/2018,Online,2,0,0,0,0
az,ho3,8/12/2018,Agent,1,1,1,0,0
az,ho3,8/12/2018,Online,5,4,2,1,0.2
az,ho6,8/12/2018,Online,1,0,0,0,0
az,ho3,8/13/2018,Agent,1,0,0,0,0
az,ho3,8/13/2018,Online,19,12,7,3,0.157894737
az,ho6,8/13/2018,Online,4,4,1,0,0
az,ho3,8/14/2018,Agent,1,0,0,0,0
az,ho3,8/14/2018,Online,11,8,3,0,0
